0
9900, 221314, 281963
10000, 222531, 313515
10100, 220212, 302299
10200, 170090, 256539
10300, 180582, 330578
10400, 255095, 353180
10500, 239703, 281400
10600, 256179, 290715
10700, 193872, 237383
10800, 183214, 306945
10900, 243705, 306737
11000, 188960, 333829
11100, 271884, 363166
11200, 179271, 361818
11300, 237665, 298409
11400, 287760, 412196
11500, 289222, 408085
11600, 207817, 410338
11700, 283478, 365028
11800, 316680, 306004
11900, 329104, 322025
12000, 288171, 455644
12100, 286212, 330067
12200, 302457, 337456
12300, 301619, 401809
12400, 305130, 488116
12500, 333102, 500219
12600, 331143, 393344
12700, 370667, 533365
12800, 364797, 453119
12900, 285194, 536999
13000, 381084, 530305
13100, 316868, 546414
13200, 325390, 453630
13300, 354197, 556436
13400, 308010, 468093
13500, 340380, 440324
13600, 389758, 546600
13700, 405683, 569456
13800, 308628, 607342
13900, 340626, 511278
14000, 462758, 741961
14100, 398929, 602697
14200, 491590, 483151
14300, 346112, 539344
14400, 348688, 670835
14500, 470678, 687782
14600, 483319, 706258
14700, 542518, 849871
14800, 574834, 732874
14900, 516162, 709366
15000, 530443, 737172
15100, 472597, 669540
15200, 568188, 816415
15300, 530869, 755443
15400, 544144, 874579
15500, 620152, 843689
15600, 559084, 623126
15700, 503243, 557058
15800, 461513, 792768
15900, 486716, 621965
16000, 511375, 691737
16100, 406161, 749593
16200, 395052, 731411
16300, 565841, 620700
16400, 588035, 653368
16500, 496435, 794991
16600, 534775, 684960
16700, 502158, 671433
16800, 574225, 730284
16900, 498626, 847047
17000, 666143, 760347
17100, 648544, 975673
17200, 643224, 753145
17300, 622782, 755968
17400, 565681, 910649
17500, 656628, 874411
17600, 513687, 983316
17700, 713118, 728316
17800, 667542, 894052
17900, 575594, 882924
18000, 744081, 946010
18100, 673097, 815658
18200, 630439, 918232
18300, 636079, 840376
18400, 743994, 1055412
18500, 706093, 790020
18600, 785640, 1013276
18700, 798884, 946868
18800, 609886, 863053
18900, 691910, 1072663
19000, 678967, 1091656
19100, 707103, 980010
19200, 645005, 1058146
19300, 746869, 1044353
19400, 665789, 1182217
19500, 856596, 1143518
19600, 783136, 1035279
19700, 884926, 1087804
19800, 778196, 1140884
19900, 803644, 1153159
20000, 885220, 1186430
20100, 804917, 1144828
20200, 805408, 1240399
20300, 906207, 1114319
20400, 765868, 1175733
20500, 899722, 1176858
20600, 739307, 1229525
20700, 791373, 1023536
20800, 983535, 1238052
20900, 811033, 1256699
21000, 1048161, 1823581
21100, 1062888, 1742604
21200, 984989, 2273761
21300, 1505056, 1647207
21400, 694566, 1766144
21500, 1119312, 1753031
21600, 1751677, 2407214
21700, 1318252, 1393414
21800, 1240322, 1459685
21900, 948315, 1656860
22000, 1287847, 1710424
22100, 1141571, 1668870
22200, 1181225, 1694843
22300, 1168710, 1701618
22400, 1205702, 1651915
22500, 1251604, 1799730
22600, 1180018, 1691386
22700, 1268665, 1801363
22800, 1230255, 1818787
22900, 1276719, 1885541
23000, 1246277, 1782371
23100, 1080182, 1756348
23200, 1258187, 1760765
23300, 1166226, 1787068
23400, 1283091, 1735276
23500, 1305156, 1810389
23600, 1189083, 1838455
23700, 1355130, 1854764
23800, 1336853, 1870637
23900, 1308480, 1738973
24000, 1330502, 1962465
24100, 1187177, 1888817
24200, 1362235, 1837060
24300, 1383860, 1968747
24400, 1223398, 1996918
24500, 1404606, 1938916
24600, 1469524, 2118718
24700, 1652333, 2054949
24800, 1476575, 3075052
24900, 1445276, 2337323
25000, 1490598, 2728550
25100, 1805178, 2420738
25200, 1739144, 2341719
25300, 1466575, 2230541
25400, 1551921, 2203050
25500, 1512626, 2090138
25600, 1515567, 2114279
25700, 1385147, 2122960
25800, 1534925, 2071379
25900, 1585846, 2242590
26000, 1553658, 2372968
26100, 1645108, 2629991
26200, 1650103, 2349898
26300, 1680977, 2205836
26400, 1640073, 2319330
26500, 1538278, 2301046
26600, 1518521, 2289530
26700, 1650864, 2313486
26800, 1711137, 2494391
26900, 1716992, 2559941
27000, 1670433, 2498079
27100, 1866668, 2186941
27200, 1690234, 2462366
27300, 1781485, 2433567
27400, 1764789, 2507761
27500, 1770725, 2440391
27600, 1732880, 2477922
27700, 1608285, 2491720
27800, 1916270, 2530579
27900, 1820812, 2464688
28000, 1854815, 2581950
28100, 1890526, 2473105
28200, 1844001, 2513080
28300, 1885248, 2644173
28400, 1972642, 2681537
28500, 1681187, 2681507
28600, 1770890, 2663165
28700, 1821804, 2672628
28800, 1923592, 2705923
28900, 1971159, 2635993
29000, 1915595, 2774975
29100, 1927587, 2660397
29200, 1959660, 2769900
29300, 2399079, 2330308
29400, 1601152, 2320100
29500, 1684289, 2391110
29600, 1664573, 2729493
29700, 1653594, 2550716
29800, 1764751, 2564769
